TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110152036,1,1,22.0,3,1,-1,50,25,0,0,-1,1,1,1,3,1,1,2,1,  8665144.857820,2,2,2,69,7,-1,-1,-1,2,2,-1,-1,-1,149,-1,0
20151110152043,1,1,19.9,3,1,5,60,5,0,0,-1,1,1,1,3,1,3,2,1, 12516082.750133,2,1,1,69,7,-1,1,2,1,2,1,2,2,135,2,0
20151110152044,1,1,39.0,3,1,5,50,15,0,0,1,1,1,1,3,1,1,1,1, 14938026.928737,2,4,2,71,7,-1,-1,-1,2,1,-1,-1,-1,280,-1,0
20151110152050,1,1,30.8,3,1,5,70,22,0,0,-1,2,1,2,-1,1,3,1,1, 23412464.186494,2,4,2,74,7,-1,1,2,1,-1,-1,-1,2,240,-1,0
20151110152055,1,3,47.0,3,2,5,30,5,0,0,-1,1,1,2,-1,1,2,2,1, 11421050.393279,2,3,3,67,7,-1,-1,-1,2,2,1,-2,-1,300,2,0
20151110152060,1,2,41.6,3,5,5,20,5,0,0,-1,1,1,2,-1,1,1,2,1,  5910050.546861,2,3,1,65,7,3,1,2,1,2,1,3,2,250,2,0
20151110152063,1,2,37.1,3,5,5,80,0,0,0,3,1,2,2,-1,1,1,1,2, 15990958.974840,2,3,1,66,7,2,1,2,1,1,2,1,2,230,2,0
20151110152072,1,1,28.6,3,1,-1,15,20,0,0,-1,1,1,1,2,2,-1,-1,1,  6548489.563108,2,1,1,65,7,-1,1,2,1,2,3,1,2,172,-1,0
20151110152076,1,1,22.2,3,1,5,60,10,0,0,-1,2,1,2,-1,2,-1,-1,1,  2567454.563240,2,2,1,59,7,-1,1,2,1,-1,3,4,2,110,2,0
20151110152085,1,1,29.7,3,1,5,35,15,0,0,-1,2,1,1,1,1,4,1,1, 10144479.220460,2,3,2,73,7,-1,-1,-1,2,-1,-1,-1,-1,225,2,0
